branchCode,orderNumber,lineNo,menuItemName,quantity,price,subtotal,servingLabel,notes,metadata
TAPAS_DOWNTOWN,ORD-TAPAS_DOWNTOWN-00001,1,Ginger Hibiscus Cooler,1,17000.00,17000.00,Standard,,"{""demoLine"": true}"
TAPAS_DOWNTOWN,ORD-TAPAS_DOWNTOWN-00001,2,Passion Fruit Cheesecake,2,21000.00,42000.00,Standard,,"{""demoLine"": true}"
TAPAS_DOWNTOWN,ORD-TAPAS_DOWNTOWN-00001,3,Matoke Croquettes,1,32000.00,32000.00,Standard,,"{""demoLine"": true}"
TAPAS_DOWNTOWN,ORD-TAPAS_DOWNTOWN-00001,4,Beef Fillet Plate,3,56000.00,168000.00,Standard,,"{""demoLine"": true}"
ROOFTOP_BAR,ORD-ROOFTOP_BAR-00002,1,Americano,1,10100.00,10100.00,Standard,,"{""demoLine"": true}"
ROOFTOP_BAR,ORD-ROOFTOP_BAR-00002,2,Mint Lime Sky Spritz,3,17900.00,53700.00,Standard,,"{""demoLine"": true}"
ROOFTOP_BAR,ORD-ROOFTOP_BAR-00002,3,Sesame Chicken Skewers,3,31400.00,94200.00,Standard,,"{""demoLine"": true}"
GARDEN_CAFE,ORD-GARDEN_CAFE-00003,1,Spiced Chai,2,10100.00,20200.00,Standard,,"{""demoLine"": true}"
GARDEN_CAFE,ORD-GARDEN_CAFE-00003,2,Halloumi Bites,1,23900.00,23900.00,Standard,,"{""demoLine"": true}"
GARDEN_CAFE,ORD-GARDEN_CAFE-00003,3,Ginger Hibiscus Cooler,3,15600.00,46800.00,Standard,,"{""demoLine"": true}"
EVENTS_KITCHEN,ORD-EVENTS_KITCHEN-00004,1,Banquet Mezze Platter,1,112100.00,112100.00,Standard,,"{""demoLine"": true}"
EVENTS_KITCHEN,ORD-EVENTS_KITCHEN-00004,2,Passion Fruit Cheesecake,2,24800.00,49600.00,Standard,,"{""demoLine"": true}"
EVENTS_KITCHEN,ORD-EVENTS_KITCHEN-00004,3,Garlic Flatbread,2,11800.00,23600.00,Standard,,"{""demoLine"": true}"
TAPAS_DOWNTOWN,ORD-TAPAS_DOWNTOWN-00005,1,Americano,3,9000.00,27000.00,Standard,,"{""demoLine"": true}"
TAPAS_DOWNTOWN,ORD-TAPAS_DOWNTOWN-00005,2,Citrus Greens Bowl,2,28000.00,56000.00,Standard,,"{""demoLine"": true}"
TAPAS_DOWNTOWN,ORD-TAPAS_DOWNTOWN-00005,3,Grilled Chicken Bowl,3,42000.00,126000.00,Standard,,"{""demoLine"": true}"
TAPAS_DOWNTOWN,ORD-TAPAS_DOWNTOWN-00005,4,Crispy Plantain Cups,2,18000.00,36000.00,Standard,,"{""demoLine"": true}"
TAPAS_DOWNTOWN,ORD-TAPAS_DOWNTOWN-00006,1,Tomato Bruschetta,1,22000.00,22000.00,Standard,,"{""demoLine"": true}"
