branchCode,menuItemName,modifierGroupName,sortOrder,metadata
TAPAS_DOWNTOWN,Crispy Plantain Cups,Sauce Choice,1,{}
TAPAS_DOWNTOWN,Crispy Plantain Cups,Side Choice,1,{}
TAPAS_DOWNTOWN,Tomato Bruschetta,Sauce Choice,1,{}
TAPAS_DOWNTOWN,Tomato Bruschetta,Side Choice,1,{}
TAPAS_DOWNTOWN,Sesame Chicken Skewers,Sauce Choice,1,{}
TAPAS_DOWNTOWN,Sesame Chicken Skewers,Side Choice,1,{}
TAPAS_DOWNTOWN,Halloumi Bites,Sauce Choice,1,{}
TAPAS_DOWNTOWN,Halloumi Bites,Side Choice,1,{}
TAPAS_DOWNTOWN,Grilled Chicken Bowl,Sauce Choice,1,{}
TAPAS_DOWNTOWN,Grilled Chicken Bowl,Side Choice,1,{}
TAPAS_DOWNTOWN,Garden Vegetable Pasta,Sauce Choice,1,{}
TAPAS_DOWNTOWN,Garden Vegetable Pasta,Side Choice,1,{}
TAPAS_DOWNTOWN,Beef Fillet Plate,Sauce Choice,1,{}
TAPAS_DOWNTOWN,Beef Fillet Plate,Side Choice,1,{}
TAPAS_DOWNTOWN,Tilapia Lemon Herb,Sauce Choice,1,{}
TAPAS_DOWNTOWN,Tilapia Lemon Herb,Side Choice,1,{}
TAPAS_DOWNTOWN,Mushroom Risotto,Sauce Choice,1,{}
TAPAS_DOWNTOWN,Mushroom Risotto,Side Choice,1,{}
TAPAS_DOWNTOWN,Herb Fries,Sauce Choice,1,{}
TAPAS_DOWNTOWN,Herb Fries,Side Choice,1,{}
TAPAS_DOWNTOWN,Seasonal Salad,Sauce Choice,1,{}
TAPAS_DOWNTOWN,Seasonal Salad,Side Choice,1,{}
TAPAS_DOWNTOWN,Garlic Flatbread,Sauce Choice,1,{}
TAPAS_DOWNTOWN,Garlic Flatbread,Side Choice,1,{}
TAPAS_DOWNTOWN,Passion Fruit Cheesecake,Sauce Choice,1,{}
TAPAS_DOWNTOWN,Passion Fruit Cheesecake,Side Choice,1,{}
TAPAS_DOWNTOWN,Chocolate Date Tart,Sauce Choice,1,{}
TAPAS_DOWNTOWN,Chocolate Date Tart,Side Choice,1,{}
TAPAS_DOWNTOWN,Americano,Drink Temperature,1,{}
TAPAS_DOWNTOWN,Americano,Sweetness Level,1,{}
TAPAS_DOWNTOWN,Cafe Latte,Drink Temperature,1,{}
TAPAS_DOWNTOWN,Cafe Latte,Sweetness Level,1,{}
TAPAS_DOWNTOWN,Spiced Chai,Drink Temperature,1,{}
TAPAS_DOWNTOWN,Spiced Chai,Sweetness Level,1,{}
TAPAS_DOWNTOWN,Mint Lime Spritz,Drink Temperature,1,{}
TAPAS_DOWNTOWN,Mint Lime Spritz,Sweetness Level,1,{}
TAPAS_DOWNTOWN,Ginger Hibiscus Cooler,Drink Temperature,1,{}
TAPAS_DOWNTOWN,Ginger Hibiscus Cooler,Sweetness Level,1,{}
TAPAS_DOWNTOWN,Mango Passion Juice,Drink Temperature,1,{}
TAPAS_DOWNTOWN,Mango Passion Juice,Sweetness Level,1,{}
TAPAS_DOWNTOWN,Smoked Eggplant Dip,Sauce Choice,1,{}
TAPAS_DOWNTOWN,Smoked Eggplant Dip,Side Choice,1,{}
TAPAS_DOWNTOWN,Charred Octopus Style Mushroom,Sauce Choice,1,{}
TAPAS_DOWNTOWN,Charred Octopus Style Mushroom,Side Choice,1,{}
TAPAS_DOWNTOWN,Chicken Empanada Trio,Sauce Choice,1,{}
TAPAS_DOWNTOWN,Chicken Empanada Trio,Side Choice,1,{}
TAPAS_DOWNTOWN,Citrus Greens Bowl,Sauce Choice,1,{}
TAPAS_DOWNTOWN,Citrus Greens Bowl,Side Choice,1,{}
TAPAS_DOWNTOWN,Matoke Croquettes,Sauce Choice,1,{}
TAPAS_DOWNTOWN,Matoke Croquettes,Side Choice,1,{}
ROOFTOP_BAR,Crispy Plantain Cups,Sauce Choice,1,{}
ROOFTOP_BAR,Crispy Plantain Cups,Side Choice,1,{}
ROOFTOP_BAR,Tomato Bruschetta,Sauce Choice,1,{}
ROOFTOP_BAR,Tomato Bruschetta,Side Choice,1,{}
ROOFTOP_BAR,Sesame Chicken Skewers,Sauce Choice,1,{}
ROOFTOP_BAR,Sesame Chicken Skewers,Side Choice,1,{}
ROOFTOP_BAR,Halloumi Bites,Sauce Choice,1,{}
ROOFTOP_BAR,Halloumi Bites,Side Choice,1,{}
ROOFTOP_BAR,Garden Vegetable Pasta,Sauce Choice,1,{}
ROOFTOP_BAR,Garden Vegetable Pasta,Side Choice,1,{}
ROOFTOP_BAR,Tilapia Lemon Herb,Sauce Choice,1,{}
ROOFTOP_BAR,Tilapia Lemon Herb,Side Choice,1,{}
ROOFTOP_BAR,Herb Fries,Sauce Choice,1,{}
ROOFTOP_BAR,Herb Fries,Side Choice,1,{}
ROOFTOP_BAR,Seasonal Salad,Sauce Choice,1,{}
ROOFTOP_BAR,Seasonal Salad,Side Choice,1,{}
