branchCode,menuItemName,inventoryItemName,qtyPerUnit,wastePct,unit,servingLabel,modifierGroupName,modifierOptionName,notes
TAPAS_DOWNTOWN,Crispy Plantain Cups,Coffee Beans,0.05,3.00,kg,Standard,,,Demo BOM line
TAPAS_DOWNTOWN,Crispy Plantain Cups,Herbs Mix,0.2,3.00,kg,Standard,,,Demo BOM line
TAPAS_DOWNTOWN,Crispy Plantain Cups,Tomatoes,0.1,3.00,kg,Standard,,,Demo BOM line
TAPAS_DOWNTOWN,Tomato Bruschetta,Flour,0.2,3.00,kg,Standard,,,Demo BOM line
TAPAS_DOWNTOWN,Tomato Bruschetta,Lettuce,0.05,3.00,kg,Standard,,,Demo BOM line
TAPAS_DOWNTOWN,Tomato Bruschetta,Plantain,0.12,3.00,kg,Standard,,,Demo BOM line
TAPAS_DOWNTOWN,Sesame Chicken Skewers,Chicken Breast,0.1,3.00,kg,Standard,,,Demo BOM line
TAPAS_DOWNTOWN,Sesame Chicken Skewers,Flatbread Dough,0.05,3.00,kg,Standard,,,Demo BOM line
TAPAS_DOWNTOWN,Sesame Chicken Skewers,Yoghurt,0.2,3.00,ltr,Standard,,,Demo BOM line
TAPAS_DOWNTOWN,Halloumi Bites,Plantain,0.1,3.00,kg,Standard,,,Demo BOM line
TAPAS_DOWNTOWN,Halloumi Bites,Herbs Mix,0.15,3.00,kg,Standard,,,Demo BOM line
TAPAS_DOWNTOWN,Halloumi Bites,Mushrooms,0.12,3.00,kg,Standard,,,Demo BOM line
TAPAS_DOWNTOWN,Grilled Chicken Bowl,Ginger Syrup,0.15,3.00,ltr,Standard,,,Demo BOM line
TAPAS_DOWNTOWN,Grilled Chicken Bowl,Chicken Breast,0.05,3.00,kg,Standard,,,Demo BOM line
TAPAS_DOWNTOWN,Grilled Chicken Bowl,Garlic,0.15,3.00,kg,Standard,,,Demo BOM line
TAPAS_DOWNTOWN,Garden Vegetable Pasta,Lettuce,0.05,3.00,kg,Standard,,,Demo BOM line
TAPAS_DOWNTOWN,Garden Vegetable Pasta,Passion Fruit Pulp,0.08,3.00,ltr,Standard,,,Demo BOM line
TAPAS_DOWNTOWN,Garden Vegetable Pasta,Lime Juice,0.12,3.00,ltr,Standard,,,Demo BOM line
TAPAS_DOWNTOWN,Beef Fillet Plate,Flour,0.1,3.00,kg,Standard,,,Demo BOM line
TAPAS_DOWNTOWN,Beef Fillet Plate,Garlic,0.1,3.00,kg,Standard,,,Demo BOM line
TAPAS_DOWNTOWN,Beef Fillet Plate,Chocolate,0.1,3.00,kg,Standard,,,Demo BOM line
TAPAS_DOWNTOWN,Tilapia Lemon Herb,Coffee Beans,0.1,3.00,kg,Standard,,,Demo BOM line
TAPAS_DOWNTOWN,Tilapia Lemon Herb,Tomatoes,0.2,3.00,kg,Standard,,,Demo BOM line
TAPAS_DOWNTOWN,Tilapia Lemon Herb,Ginger Syrup,0.2,3.00,ltr,Standard,,,Demo BOM line
TAPAS_DOWNTOWN,Mushroom Risotto,Flatbread Dough,0.08,3.00,kg,Standard,,,Demo BOM line
TAPAS_DOWNTOWN,Mushroom Risotto,Yoghurt,0.2,3.00,ltr,Standard,,,Demo BOM line
TAPAS_DOWNTOWN,Mushroom Risotto,Chocolate,0.15,3.00,kg,Standard,,,Demo BOM line
